timestamp_wall,timestamp_mono,state_x,desired_x,output_cmd,error,converged_flag,distance_to_converge,estimated_time_to_converge,fsm_mode
2025-12-04T19:29:27.764854,3951.432327944,-7.528208222956475e-19,0.0,7.750786301127624e-30,-7.528208222956475e-19,False,7.528208222956475e-19,0.0,INIT
2025-12-04T19:29:27.774671,3951.442147535,-7.528208222956475e-19,0.0,7.750786301127624e-30,-7.528208222956475e-19,False,7.528208222956475e-19,0.0,INIT
2025-12-04T19:29:27.809266,3951.476746227,5.885712379990939e-11,0.0,-2.0306186096087494e-16,5.885712379990939e-11,False,5.885712379990939e-11,0.0,INIT
2025-12-04T19:29:27.814752,3951.482226244,5.885712379990939e-11,0.0,-2.0306186096087494e-16,5.885712379990939e-11,False,5.885712379990939e-11,0.0,INIT
2025-12-04T19:29:27.964172,3951.631643044,5.885668936349882e-11,0.0,-2.0305931293789044e-16,5.885668936349882e-11,False,5.885668936349882e-11,0.0,INIT
2025-12-04T19:29:27.974996,3951.64246577,5.885487606369815e-11,0.0,-2.0304867785367576e-16,5.885487606369815e-11,False,5.885487606369815e-11,0.0,INIT
2025-12-04T19:29:27.984712,3951.652184972,5.885487606369815e-11,0.0,-2.0304867785367576e-16,5.885487606369815e-11,False,5.885487606369815e-11,0.0,INIT
2025-12-04T19:29:27.994619,3951.662087592,5.885366719716435e-11,0.0,-2.0304158792495575e-16,5.885366719716435e-11,False,5.885366719716435e-11,0.0,INIT
2025-12-04T19:29:28.004761,3951.672231951,5.885366719716435e-11,0.0,-2.0304158792495575e-16,5.885366719716435e-11,False,5.885366719716435e-11,0.0,INIT
2025-12-04T19:29:28.120774,3951.788245939,5.885487606369815e-11,0.0,-2.0304867785367576e-16,5.885487606369815e-11,False,5.885487606369815e-11,0.0,INIT
2025-12-04T19:29:28.131163,3951.798632763,5.885487606369815e-11,0.0,-2.0304867785367576e-16,5.885487606369815e-11,False,5.885487606369815e-11,0.0,INIT
2025-12-04T19:29:28.134793,3951.802262231,5.885487606369815e-11,0.0,-2.0304867785367576e-16,5.885487606369815e-11,False,5.885487606369815e-11,0.0,INIT
2025-12-04T19:29:28.144705,3951.812174931,5.885971152983327e-11,0.0,-2.0307703858793578e-16,5.885971152983327e-11,False,5.885971152983327e-11,0.0,INIT
2025-12-04T19:29:28.154832,3951.822302917,5.885971152983327e-11,0.0,-2.0307703858793578e-16,5.885971152983327e-11,False,5.885971152983327e-11,0.0,INIT
2025-12-04T19:29:28.454285,3952.121754516,5.884762286449546e-11,0.0,-2.0300613981045812e-16,5.884762286449546e-11,False,5.884762286449546e-11,0.0,INIT
2025-12-04T19:29:28.465325,3952.132800705,5.884762286449546e-11,0.0,-2.0300613981045812e-16,5.884762286449546e-11,False,5.884762286449546e-11,0.0,INIT
2025-12-04T19:29:28.515325,3952.182797332,5.885729379676572e-11,0.0,-2.0306285801693103e-16,5.885729379676572e-11,False,5.885729379676572e-11,0.0,INIT
2025-12-04T19:29:28.524877,3952.192348169,5.885729379676572e-11,0.0,-2.0306285801693103e-16,5.885729379676572e-11,False,5.885729379676572e-11,0.0,INIT
2025-12-04T19:29:28.534692,3952.20216504,5.884762286449546e-11,0.0,-2.0300613981045812e-16,5.884762286449546e-11,False,5.884762286449546e-11,0.0,INIT
